first_name,last_name,email,address,phone_number
Steven,Lee,duranamanda@example.net,"27997 Miller Junctions
South Kellytown, GU 05558",(591)418-5198
Frances,Simmons,stephanie68@example.org,"6699 Lisa Crossing Suite 690
Jessicaton, IN 45554",835-798-1762x02202
Kimberly,Thomas,sloanchristine@example.com,"334 Luis Crescent
South Casey, NC 34742",(292)232-6069
Ryan,Murphy,barbaradelgado@example.net,"874 Jones Village Apt. 845
Dennisville, WA 86608",001-847-704-5180
Kelly,Cole,weavertyler@example.org,"40344 Thomas Keys Apt. 004
Paulmouth, FM 51574",505.582.3092x0183
Mary,Butler,ycoleman@example.net,"61588 Miller Landing
South James, AK 25121",+1-744-987-9383x0608
Maria,Moore,lopezlinda@example.org,"787 Hill Crossing Apt. 377
West Kendrastad, CT 26045",+1-348-512-0262x578
Michelle,Sanders,johnwilson@example.com,"Unit 5815 Box 1257
DPO AE 40057",279-546-4609x7157
Kristin,Stanton,jameshoward@example.com,"6220 Samantha Ports
Jonathanhaven, CA 44124",+1-567-419-2524x38297
Sandra,Russell,vicki10@example.com,"2118 Brandon Stream
Smithmouth, MP 50276",348.440.7411
